epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,75.076,1.26967,2.6623,2.45856,1.15753,0,0.7737,0.13691,0.25849,0.16396,0.77651,0.13956,0.24261,0.13667,1.35185,2.73278,2.41979,1.21588,0,0.000274713,0.000274713,0.000274713
2,143.042,1.32829,2.71335,1.56748,1.19771,0,0.3953,0.39011,0.35162,0.22117,0.38644,0.37333,0.33008,0.18637,1.35783,2.88719,1.66888,1.2223,0,0.000548734,0.000548734,0.000548734
3,206.628,1.33344,2.74222,1.49932,1.20076,0,0.47342,0.36373,0.35523,0.22558,0.46963,0.35968,0.34368,0.18654,1.39968,2.92591,1.65532,1.26802,0,0.000819089,0.000819089,0.000819089
4,270.307,1.35903,2.75828,1.44327,1.21521,0,0.51278,0.39924,0.38802,0.25345,0.50677,0.39154,0.37718,0.22123,1.39232,2.8611,1.48235,1.25862,0,0.000816507,0.000816507,0.000816507
5,334.318,1.34307,2.71497,1.36885,1.2068,0,0.54492,0.39975,0.41252,0.25493,0.50393,0.36375,0.38163,0.21175,1.39249,2.85413,1.40932,1.25134,0,0.000811009,0.000811009,0.000811009
6,396.822,1.31387,2.68058,1.32224,1.19993,0,0.43429,0.40784,0.38305,0.23494,0.42574,0.40419,0.36476,0.205,1.37874,2.84962,1.35339,1.24825,0,0.000805511,0.000805511,0.000805511
7,459.126,1.29519,2.67486,1.26986,1.18696,0,0.54723,0.40684,0.44205,0.28184,0.50157,0.40558,0.41766,0.24552,1.40446,2.82405,1.33423,1.24193,0,0.000800013,0.000800013,0.000800013
8,523.004,1.31496,2.70087,1.25912,1.18679,0,0.60301,0.38403,0.4303,0.27427,0.5712,0.36829,0.40931,0.2416,1.36027,2.80258,1.31075,1.22999,0,0.000794515,0.000794515,0.000794515
9,578.533,1.29415,2.66133,1.23933,1.18141,0,0.53775,0.39554,0.42798,0.27581,0.5247,0.38826,0.41047,0.2394,1.37023,2.8552,1.27803,1.24496,0,0.000789018,0.000789018,0.000789018
10,635.731,1.29313,2.64031,1.20493,1.18244,0,0.50291,0.41586,0.42726,0.26827,0.49292,0.40628,0.40793,0.22245,1.35565,2.80896,1.26671,1.2352,0,0.00078352,0.00078352,0.00078352
11,690.826,1.28672,2.64825,1.19455,1.16885,0,0.49017,0.44175,0.42802,0.26716,0.51438,0.39653,0.41042,0.23109,1.35957,2.82821,1.28817,1.23032,0,0.000778022,0.000778022,0.000778022
12,750.12,1.26443,2.62874,1.17046,1.16167,0,0.53152,0.44187,0.44633,0.28878,0.52699,0.43226,0.43617,0.25259,1.34781,2.79564,1.22968,1.22751,0,0.000772524,0.000772524,0.000772524
13,809.072,1.27463,2.62322,1.17363,1.17195,0,0.61336,0.40738,0.45241,0.2802,0.61046,0.39942,0.43811,0.2412,1.34016,2.81585,1.23194,1.22096,0,0.000767026,0.000767026,0.000767026
14,864.146,1.27338,2.6168,1.16409,1.15997,0,0.46712,0.43685,0.42155,0.279,0.56373,0.37872,0.41095,0.24656,1.35157,2.79664,1.22137,1.23098,0,0.000761529,0.000761529,0.000761529
15,919.689,1.26261,2.61532,1.15538,1.16284,0,0.64615,0.37443,0.44796,0.28394,0.64307,0.37416,0.43293,0.25097,1.33403,2.75946,1.23176,1.2187,0,0.000756031,0.000756031,0.000756031
16,974.768,1.26991,2.61746,1.14024,1.1579,0,0.5068,0.44571,0.44391,0.28414,0.49941,0.43088,0.43564,0.25004,1.33167,2.79781,1.21648,1.22859,0,0.000750533,0.000750533,0.000750533
17,1029.87,1.25288,2.58136,1.14161,1.15501,0,0.46635,0.44102,0.43199,0.27784,0.4796,0.42668,0.42053,0.24328,1.33921,2.8083,1.20994,1.22799,0,0.000745035,0.000745035,0.000745035
18,1084.53,1.24415,2.57145,1.1279,1.14924,0,0.5423,0.43534,0.43776,0.28537,0.53265,0.42564,0.42695,0.24929,1.33367,2.77314,1.23971,1.2336,0,0.000739537,0.000739537,0.000739537
19,1146.49,1.25418,2.62682,1.12017,1.15223,0,0.55189,0.42219,0.45376,0.29274,0.55241,0.42419,0.44563,0.26321,1.30544,2.76158,1.2164,1.21241,0,0.00073404,0.00073404,0.00073404
20,1201.72,1.23157,2.58482,1.09467,1.14344,0,0.56232,0.43051,0.46967,0.30527,0.58743,0.3989,0.44862,0.2702,1.32534,2.75771,1.21048,1.2306,0,0.000728542,0.000728542,0.000728542
21,1256.82,1.22505,2.56531,1.08986,1.14083,0,0.55201,0.42421,0.44835,0.29029,0.53269,0.41506,0.42605,0.24952,1.3419,2.78746,1.18991,1.22317,0,0.000723044,0.000723044,0.000723044
22,1315.96,1.24078,2.56682,1.09682,1.14642,0,0.52808,0.44959,0.45917,0.29826,0.53357,0.43229,0.43821,0.25762,1.3279,2.77933,1.22382,1.21825,0,0.000717546,0.000717546,0.000717546
23,1370.34,1.23173,2.57645,1.09634,1.14147,0,0.5096,0.43987,0.45042,0.30015,0.52711,0.43127,0.44423,0.26856,1.34011,2.78096,1.18113,1.22489,0,0.000712048,0.000712048,0.000712048
24,1424.92,1.21116,2.54633,1.08971,1.14321,0,0.54442,0.4279,0.45491,0.30525,0.56232,0.41747,0.44276,0.26537,1.34129,2.79927,1.1782,1.23402,0,0.000706551,0.000706551,0.000706551
25,1480.28,1.21985,2.53757,1.0861,1.13846,0,0.54194,0.43213,0.44455,0.28993,0.55074,0.41947,0.43625,0.26096,1.33301,2.76626,1.18602,1.21186,0,0.000701053,0.000701053,0.000701053
26,1534.74,1.20737,2.5391,1.06923,1.13593,0,0.51163,0.48372,0.45681,0.29319,0.51521,0.4712,0.44798,0.25977,1.32755,2.7814,1.16343,1.21661,0,0.000695555,0.000695555,0.000695555
27,1588.96,1.22092,2.55399,1.07089,1.13658,0,0.56161,0.39499,0.42641,0.27756,0.55087,0.38826,0.40693,0.24492,1.31712,2.788,1.17242,1.21193,0,0.000690057,0.000690057,0.000690057
28,1643.04,1.21645,2.53356,1.0643,1.13681,0,0.53626,0.39831,0.42727,0.27937,0.53028,0.38896,0.41747,0.25125,1.32157,2.78494,1.18768,1.20479,0,0.000684559,0.000684559,0.000684559
29,1697.77,1.20352,2.52995,1.05751,1.13001,0,0.49317,0.4539,0.43835,0.29539,0.5237,0.42608,0.42757,0.24966,1.32196,2.77492,1.17885,1.21463,0,0.000679062,0.000679062,0.000679062
30,1752.11,1.20187,2.51542,1.05263,1.12854,0,0.56461,0.42063,0.45016,0.2979,0.61348,0.41193,0.44098,0.25783,1.33099,2.78569,1.178,1.21738,0,0.000673564,0.000673564,0.000673564
31,1807.22,1.20824,2.51948,1.05471,1.13072,0,0.58311,0.40525,0.44612,0.29684,0.59678,0.4023,0.4361,0.25,1.3204,2.74995,1.17895,1.20651,0,0.000668066,0.000668066,0.000668066
32,1863.72,1.21797,2.54547,1.04853,1.13135,0,0.56103,0.40982,0.45487,0.30673,0.57269,0.40861,0.4488,0.27325,1.32377,2.76443,1.17268,1.21412,0,0.000662568,0.000662568,0.000662568
33,1920.11,1.18948,2.49699,1.04026,1.12361,0,0.60928,0.42438,0.4613,0.30057,0.59428,0.40845,0.44136,0.27052,1.32297,2.79724,1.16002,1.20907,0,0.00065707,0.00065707,0.00065707
34,1975.22,1.19534,2.51735,1.03233,1.118,0,0.57563,0.41266,0.46884,0.30637,0.56813,0.41073,0.45305,0.26995,1.3181,2.75571,1.16433,1.2189,0,0.000651573,0.000651573,0.000651573
35,2033.93,1.1914,2.50399,1.03136,1.11912,0,0.56245,0.43152,0.45222,0.29185,0.56598,0.43407,0.44491,0.26349,1.3204,2.75988,1.16428,1.21274,0,0.000646075,0.000646075,0.000646075
36,2089.19,1.18079,2.48135,1.01675,1.11859,0,0.59071,0.3967,0.44596,0.29103,0.58649,0.39493,0.43651,0.25926,1.31335,2.75325,1.16015,1.21588,0,0.000640577,0.000640577,0.000640577
