epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,102.908,1.28365,2.6845,2.47577,1.1674,0,0.74721,0.09761,0.20203,0.12736,0.74585,0.09711,0.19443,0.10412,1.41339,2.95527,2.68207,1.26426,0,0.000274713,0.000274713,0.000274713
2,178.335,1.37407,2.81616,1.68961,1.23027,0,0.37961,0.2131,0.2039,0.12261,0.37549,0.21266,0.2011,0.11069,1.51789,3.1706,1.96641,1.36675,0,0.000543265,0.000543265,0.000543265
3,250.094,1.41539,2.88413,1.67101,1.25244,0,0.36509,0.19775,0.18233,0.11352,0.3434,0.18984,0.17058,0.09298,1.62402,3.45561,2.18065,1.462,0,0.000802655,0.000802655,0.000802655
4,307.716,1.4452,2.94559,1.67698,1.27967,0,0.24399,0.16127,0.14707,0.08287,0.22674,0.15061,0.13929,0.07184,1.67046,3.30736,1.98942,1.47754,0,0.000791767,0.000791767,0.000791767
5,362.842,1.43759,2.89919,1.62467,1.27425,0,0.26879,0.23931,0.18524,0.10905,0.25243,0.22578,0.17412,0.09057,1.61241,3.29757,1.93069,1.43532,0,0.000778022,0.000778022,0.000778022
6,417.95,1.3967,2.85828,1.54157,1.2568,0,0.31289,0.23832,0.19776,0.12277,0.34933,0.21706,0.18957,0.10024,1.54196,3.19503,1.79852,1.38233,0,0.000764278,0.000764278,0.000764278
7,475.453,1.3711,2.83421,1.47856,1.24283,0,0.33881,0.28573,0.25892,0.16113,0.33629,0.27494,0.24538,0.12838,1.54579,3.12206,1.76344,1.3625,0,0.000750533,0.000750533,0.000750533
8,530.307,1.39236,2.86326,1.46313,1.24406,0,0.40438,0.2752,0.26322,0.15989,0.3837,0.25903,0.24796,0.13099,1.54191,3.11794,1.66117,1.36319,0,0.000736788,0.000736788,0.000736788
9,583.974,1.36384,2.80961,1.4288,1.2294,0,0.41415,0.27684,0.26689,0.16611,0.39749,0.27935,0.26066,0.14382,1.50009,3.10719,1.58169,1.33193,0,0.000723044,0.000723044,0.000723044
10,638.488,1.3634,2.79926,1.39133,1.22817,0,0.46017,0.27243,0.2763,0.16986,0.4339,0.25776,0.2626,0.14275,1.53305,3.1246,1.58626,1.35435,0,0.000709299,0.000709299,0.000709299
11,693.182,1.34734,2.77166,1.37275,1.21467,0,0.35879,0.27401,0.24802,0.15301,0.35468,0.26841,0.23792,0.1234,1.49453,3.08461,1.58747,1.33286,0,0.000695555,0.000695555,0.000695555
12,747.256,1.32827,2.75055,1.34387,1.20797,0,0.4132,0.28577,0.26471,0.16536,0.42762,0.28543,0.25685,0.14475,1.50052,3.09683,1.62026,1.34048,0,0.00068181,0.00068181,0.00068181
13,801.708,1.33152,2.74829,1.33447,1.21376,0,0.36362,0.28603,0.26189,0.15638,0.35367,0.26454,0.2432,0.13093,1.48312,3.03988,1.57332,1.32556,0,0.000668066,0.000668066,0.000668066
14,856.294,1.32812,2.72327,1.31684,1.20339,0,0.47282,0.28002,0.27237,0.16606,0.44236,0.26814,0.26077,0.14633,1.49423,3.03947,1.56543,1.33089,0,0.000654321,0.000654321,0.000654321
15,910.776,1.31645,2.72519,1.30042,1.20399,0,0.43361,0.29687,0.29659,0.18682,0.43732,0.29915,0.29231,0.16603,1.43783,2.95782,1.46317,1.30888,0,0.000640577,0.000640577,0.000640577
16,965.319,1.31066,2.70821,1.27051,1.19166,0,0.60548,0.2892,0.33898,0.20928,0.61045,0.2707,0.32847,0.18494,1.4518,2.9908,1.4728,1.30846,0,0.000626832,0.000626832,0.000626832
17,1020.95,1.2968,2.67417,1.26993,1.18977,0,0.41202,0.33437,0.29038,0.17977,0.39918,0.32826,0.27776,0.1507,1.43989,2.97612,1.47257,1.30779,0,0.000613088,0.000613088,0.000613088
18,1079.73,1.29066,2.65777,1.25496,1.18135,0,0.42256,0.37423,0.32834,0.20573,0.39413,0.34881,0.30294,0.16557,1.43038,2.94061,1.45679,1.31395,0,0.000599343,0.000599343,0.000599343
19,1134.47,1.29331,2.70098,1.23025,1.18202,0,0.49272,0.27518,0.30596,0.19438,0.47364,0.26422,0.28983,0.16082,1.44719,2.96241,1.4703,1.3129,0,0.000585599,0.000585599,0.000585599
20,1188.82,1.27028,2.65368,1.20031,1.17157,0,0.45746,0.37409,0.34086,0.22141,0.43087,0.36209,0.33189,0.18774,1.43617,2.95898,1.46259,1.30954,0,0.000571854,0.000571854,0.000571854
21,1243.01,1.251,2.62647,1.19026,1.15946,0,0.4664,0.33963,0.32999,0.20956,0.44111,0.33192,0.3158,0.17871,1.43674,2.94376,1.44396,1.29451,0,0.00055811,0.00055811,0.00055811
22,1297.98,1.26714,2.62829,1.19723,1.16632,0,0.45239,0.3148,0.31556,0.20109,0.44857,0.29369,0.29412,0.15807,1.43472,2.95263,1.45047,1.29763,0,0.000544365,0.000544365,0.000544365
23,1352.09,1.2571,2.62221,1.1803,1.15707,0,0.49479,0.34261,0.34125,0.2214,0.47907,0.33103,0.31696,0.18217,1.43222,2.95292,1.40371,1.29324,0,0.000530621,0.000530621,0.000530621
24,1406.37,1.23267,2.58567,1.17319,1.15684,0,0.51597,0.33458,0.34647,0.21973,0.50482,0.31922,0.32582,0.18517,1.43675,2.95447,1.43649,1.30065,0,0.000516877,0.000516877,0.000516877
25,1461.16,1.23096,2.56851,1.15427,1.15132,0,0.39127,0.34708,0.33492,0.21144,0.36863,0.32978,0.31099,0.17563,1.41603,2.97747,1.40139,1.27705,0,0.000503132,0.000503132,0.000503132
26,1515.75,1.2233,2.5696,1.139,1.14889,0,0.51386,0.32437,0.33821,0.21764,0.51659,0.29853,0.32098,0.18121,1.42064,2.95198,1.37793,1.28039,0,0.000489387,0.000489387,0.000489387
27,1570.43,1.22962,2.5753,1.13957,1.14596,0,0.45916,0.35786,0.34958,0.23463,0.43873,0.34671,0.33461,0.19538,1.39479,2.91085,1.38007,1.27286,0,0.000475643,0.000475643,0.000475643
28,1625.38,1.22314,2.55122,1.12048,1.14556,0,0.44595,0.36397,0.34743,0.21774,0.4909,0.33167,0.33694,0.18099,1.40247,2.97496,1.416,1.26093,0,0.000461898,0.000461898,0.000461898
29,1680.76,1.20931,2.54381,1.10905,1.13641,0,0.54615,0.33405,0.34582,0.22299,0.55498,0.3156,0.32964,0.18195,1.40928,2.93709,1.38329,1.2658,0,0.000448154,0.000448154,0.000448154
30,1735.19,1.20266,2.5217,1.08712,1.13212,0,0.56121,0.32763,0.34227,0.22813,0.56442,0.32726,0.33777,0.20123,1.42133,2.92931,1.42274,1.27952,0,0.000434409,0.000434409,0.000434409
31,1789.89,1.20565,2.52318,1.08429,1.13006,0,0.49817,0.33959,0.35571,0.23727,0.48707,0.33691,0.3467,0.204,1.4035,2.90708,1.35396,1.25145,0,0.000420665,0.000420665,0.000420665
32,1845.54,1.20636,2.53529,1.07266,1.13017,0,0.53805,0.32633,0.35621,0.23662,0.54579,0.32086,0.34228,0.19651,1.39995,2.915,1.36253,1.26629,0,0.00040692,0.00040692,0.00040692
33,1899.51,1.17919,2.47807,1.05005,1.12041,0,0.57056,0.33873,0.36784,0.24223,0.54971,0.32725,0.35729,0.20437,1.39528,2.92524,1.36943,1.26777,0,0.000393176,0.000393176,0.000393176
34,1954.3,1.18763,2.50736,1.04798,1.11552,0,0.54248,0.33714,0.35789,0.23718,0.52792,0.3226,0.33991,0.1986,1.37962,2.89648,1.34428,1.2631,0,0.000379431,0.000379431,0.000379431
35,2007.79,1.1759,2.47896,1.04453,1.11503,0,0.47294,0.3651,0.36889,0.24956,0.55847,0.30349,0.34844,0.20221,1.38127,2.9131,1.33007,1.26592,0,0.000365687,0.000365687,0.000365687
36,2062.39,1.15589,2.45105,1.0248,1.10798,0,0.49886,0.3639,0.36463,0.23993,0.49216,0.34966,0.35417,0.19985,1.37406,2.89136,1.31874,1.25025,0,0.000351942,0.000351942,0.000351942
37,2117.26,1.16645,2.44508,1.02148,1.11058,0,0.52698,0.32934,0.35238,0.22808,0.51047,0.32724,0.34362,0.19706,1.39898,2.88588,1.33569,1.27583,0,0.000338198,0.000338198,0.000338198
38,2171.99,1.176,2.47368,1.01579,1.10724,0,0.4814,0.34621,0.35322,0.23217,0.45721,0.33827,0.3405,0.19392,1.38052,2.90404,1.32926,1.26415,0,0.000324453,0.000324453,0.000324453
39,2227.1,1.1463,2.42163,0.99988,1.10139,0,0.48311,0.35941,0.34694,0.23408,0.46582,0.31648,0.32786,0.1933,1.39025,2.8842,1.33842,1.27371,0,0.000310709,0.000310709,0.000310709
40,2282.29,1.13183,2.38879,0.98956,1.09508,0,0.50561,0.36232,0.36801,0.24969,0.49331,0.35624,0.35889,0.20883,1.36539,2.86082,1.30079,1.24528,0,0.000296964,0.000296964,0.000296964
41,2337.13,1.14852,2.42941,0.97217,1.09368,0,0.48217,0.34843,0.35793,0.24234,0.45866,0.33487,0.34609,0.20532,1.38487,2.87301,1.32011,1.25378,0,0.00028322,0.00028322,0.00028322
42,2394.71,1.15196,2.43311,0.98901,1.09282,0,0.52008,0.3424,0.37267,0.25154,0.56556,0.32493,0.36153,0.20816,1.37509,2.87345,1.29218,1.253,0,0.000269475,0.000269475,0.000269475
43,2450.21,1.12134,2.40019,0.95469,1.08881,0,0.55906,0.326,0.35291,0.24199,0.53789,0.3185,0.34057,0.19705,1.37045,2.86552,1.29597,1.2407,0,0.000255731,0.000255731,0.000255731
44,2509.61,1.13475,2.388,0.9528,1.08519,0,0.57356,0.36508,0.38193,0.26206,0.54914,0.36084,0.37776,0.21729,1.37778,2.89416,1.28997,1.26232,0,0.000241986,0.000241986,0.000241986
45,2564.82,1.12416,2.39373,0.94699,1.08615,0,0.46685,0.3802,0.35957,0.24155,0.44075,0.36354,0.34003,0.19688,1.38003,2.89352,1.31514,1.25811,0,0.000228242,0.000228242,0.000228242
46,2620.25,1.12259,2.39363,0.95142,1.08692,0,0.58666,0.34193,0.3823,0.25503,0.55656,0.3276,0.35953,0.20825,1.36521,2.83861,1.28296,1.24985,0,0.000214497,0.000214497,0.000214497
47,2674.73,1.125,2.38172,0.94209,1.08445,0,0.49886,0.34802,0.36426,0.24113,0.48574,0.34405,0.3482,0.2016,1.36635,2.8639,1.28544,1.2442,0,0.000200753,0.000200753,0.000200753
48,2729.2,1.11015,2.36133,0.92199,1.07292,0,0.51809,0.33824,0.36433,0.24503,0.49874,0.32665,0.34346,0.20361,1.35167,2.85632,1.27165,1.23731,0,0.000187008,0.000187008,0.000187008
49,2783.69,1.11308,2.37662,0.92708,1.07929,0,0.50508,0.36511,0.38308,0.2595,0.55162,0.32811,0.36489,0.21541,1.3566,2.8448,1.26926,1.24049,0,0.000173264,0.000173264,0.000173264
50,2842.85,1.11007,2.35867,0.91499,1.07401,0,0.45924,0.35769,0.35696,0.23845,0.45249,0.34377,0.34048,0.20137,1.35252,2.85169,1.2861,1.23775,0,0.00015952,0.00015952,0.00015952
51,2894.46,1.1234,2.40506,0.91883,1.08232,0,0.50856,0.36629,0.37318,0.24268,0.59029,0.32552,0.36043,0.2086,1.35495,2.86754,1.28487,1.24756,0,0.000145775,0.000145775,0.000145775
52,2937.84,1.09357,2.3427,0.86851,1.0661,0,0.52307,0.36122,0.36827,0.24602,0.5013,0.36159,0.35409,0.20654,1.35555,2.85518,1.2796,1.24441,0,0.000132031,0.000132031,0.000132031
53,2980.95,1.0893,2.3401,0.84991,1.06521,0,0.53393,0.35133,0.35703,0.2379,0.52186,0.34037,0.34818,0.20063,1.35578,2.88168,1.28237,1.23952,0,0.000118286,0.000118286,0.000118286
54,3023.34,1.08018,2.32404,0.8443,1.05942,0,0.60899,0.32765,0.37427,0.2486,0.59087,0.32651,0.36385,0.20603,1.34568,2.84486,1.27276,1.23349,0,0.000104542,0.000104542,0.000104542
55,3066.15,1.07764,2.30987,0.8348,1.05642,0,0.50435,0.35431,0.36632,0.24473,0.48613,0.33956,0.34728,0.19776,1.35336,2.8706,1.2821,1.23801,0,9.0797e-05,9.0797e-05,9.0797e-05
56,3109.18,1.0638,2.2986,0.82898,1.05068,0,0.51196,0.36584,0.37225,0.25349,0.48754,0.35442,0.35714,0.20804,1.35206,2.84749,1.27102,1.24275,0,7.70525e-05,7.70525e-05,7.70525e-05
57,3152.39,1.06021,2.28068,0.81917,1.04789,0,0.57346,0.32172,0.3703,0.24776,0.54941,0.31348,0.35348,0.20392,1.34791,2.86187,1.26252,1.23734,0,6.3308e-05,6.3308e-05,6.3308e-05
58,3195.19,1.05705,2.27573,0.81068,1.04101,0,0.57929,0.33693,0.37328,0.25094,0.56595,0.32582,0.35884,0.20891,1.34304,2.85741,1.25694,1.23678,0,4.95635e-05,4.95635e-05,4.95635e-05
59,3237.69,1.04966,2.24785,0.80077,1.04589,0,0.5587,0.33881,0.37232,0.24741,0.53622,0.32513,0.35664,0.20466,1.34598,2.86537,1.26641,1.23766,0,3.5819e-05,3.5819e-05,3.5819e-05
